id,name,price,original_price,discount,rating,review_count,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,product_type
56758176,Đông trùng hạ thảo sấy thăng hoa - Hủ 20g,199000,199000,0,4.5,10,,,,,,,,,,đông trùng hạ thảo sấy thăng hoa
52876238,GẠO NHẬT HOKKAIDO YUMEPIRIKA - GẠO TRẮNG - XÁT DỐI,356000,356000,0,4.8,9,,,,,,,,,,gạo nhật hokkaido yumepirika gạo
51586282,200gr Trà cỏ ngọt,74000,74000,0,4.6,15,,,,,,,,,,r trà cỏ ngọt
50246024,Đường giảm Calo (đường ăn kiêng) - hàng nội địa Nhật Bản,99000,99000,0,4.7,12,,,,,,,,,,đường giảm calo hàng
46912393,Bột Coffee Enema 1kg,519000,519000,0,4.8,30,,,,,,,,,,bột coffee
43133643,1kg táo đỏ khô cao cấp,115000,115000,0,4.7,11,,,,,,,,,,kg táo đỏ khô
35968653,Thạch Vị Táo Và Nho Orihiro 240G,55000,55000,0,4.5,11,,,,,,,,,,thạch vị táo
34914469,ĐẬU PHỘNG CỐT DỪA TÂN LỘC PHÁT COMBO 1KG - MỖI HŨ 500G,185000,185000,0,4.5,112,,,,,,,,,,đậu phộng cốt dừa tân lộc
5503699,Hạt Nêm ngon ngọt tự nhiên,500,265000,265000,0,5,,,,,,,,,,hạt nêm ngon ngọt tự nhiên
533491,Thùng Mì Gói Hảo Hảo Hương Vị Tôm Xào Chua Ngọt,143000,150000,7000,4.8,20,,,,,,,,,,thùng mì gói hảo hảo hương vị
279155851,[Tặng Ca đá 900ml] Combo 2 Bịch Cà phê Hòa tan NESCAFÉ VỊ NGUYÊN BẢN 80 gói Đậm Thơm Hoàn Hảo,670750,670750,0,0,0,,,,,,,,,,combo bịch cà phê hòa
278532382,Bột Sữa Hạt Multi Grains Xuân An[ít đường]Túi 400g(25g*16 gói)(Tặng Kèm 1 Túi Yến Mạch 150G),109000,109000,0,0,0,,,,,,,,,,bột sữa hạt multi
276596683,BỘT NGŨ CỐC DINH DƯỠNG TÂN LỘC PHÁT,127000,127000,0,5,1,,,,,,,,,,bột ngũ cốc dinh dưỡng tân lộc
276461546,Đồ Chơi Cần Câu Thép Dẻo cho mèo nhiều mẫu,25000,25000,0,5,1,,,,,,,,,,đồ chơi cần câu thép dẻo
276414446,Bỉm Quần Vệ Sinh Dành Cho Chó Cái Pet Soft gói 12 miếng,75000,75000,0,0,0,,,,,,,,,,bỉm quần vệ sinh dành
276229514,COMBO 5 Cuộn Túi Đựng Phân Cho Chó Mèo Tiện Lợi 1 Cuộn 15 Túi - YonaPetshop,35000,35000,0,5,1,,,,,,,,,,combo túi đựng phân
275014255,RONG BIỂN NẤU CANH TÂN LỘC PHÁT 150G - GỒM 3 BỊCH 50G,190000,190000,0,5,1,,,,,,,,,,rong biển nấu canh tân
274996880,[CB] 2 HỘP CAPPUCCINO: MUỐI + TRỨNG (5 gói x 30 gram),95000,95000,0,0,0,,,,,,,,,,hộp cappuccino muối
