product_id,name,price,original_price,discount,rating,review_count, ,url,product_type
198341163,Gel Rửa Mặt Oxy Acne Prevent 100g,68000.0,86000.0,18000.0,5.0,15,,https://tiki.vngel-rua-mat-oxy-acne-prevent-100g-p198341163.html?spid=198341165,gel rửa mặt acne
179717789,Miếng dán mụn giúp giảm mụn sưng viêm Acnes Clear Patch (48 Miếng),82000.0,105000.0,23000.0,4.8,34,,https://tiki.vnmieng-dan-mun-giup-giam-mun-sung-viem-acnes-clear-patch-48-mieng-p179717789.html?spid=179717790,miếng dán mụn giúp
176672113,Kem chấm mụn chuyên sâu Acnes Blemish Clear Cream 10g,51000.0,65000.0,14000.0,4.8,87,,https://tiki.vnkem-cham-mun-chuyen-sau-acnes-blemish-clear-cream-10g-p176672113.html?spid=176672114,kem chấm mụn chuyên sâu
117147635,Sữa Rửa Mặt Simple lành tính và hiệu quả cho mọi loại da 150ml,135000.0,140500.0,5500.0,4.8,591,,https://tiki.vnsua-rua-mat-simple-lanh-tinh-va-hieu-qua-cho-moi-loai-da-150ml-p117147635.html?spid=117147636,sữa rửa mặt simple
71084627,KEM OSACHI TÍM 9 IN 1 - O'SACHI WHITENIG SKIN CARE CREAM 20G - MỜ THÂM NÁM - CHỐNG LÃO HOÁ DA,792000.0,792000.0,0.0,4.5,13,,https://tiki.vnkem-osachi-tim-9-in-1-o-sachi-whitenig-skin-care-cream-20g-mo-tham-nam-chong-lao-hoa-da-p71084627.html?spid=71084628,kem osachi tím in
54058503,Sữa rửa mặt dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cleanser 80g,76000.0,97000.0,21000.0,4.7,655,,https://tiki.vnsua-rua-mat-duong-trang-hada-labo-perfect-white-tranexamic-acid-cleanser-80g-p54058503.html?spid=54058504,sữa rửa mặt dưỡng trắng
54058501,Kem dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cream 50g,196000.0,250000.0,54000.0,4.7,882,,https://tiki.vnkem-duong-trang-hada-labo-perfect-white-tranexamic-acid-cream-50g-p54058501.html?spid=54058502,kem dưỡng trắng hada
25108217,Sữa rửa mặt ngăn ngừa mụn Acnes Creamy Wash 100g,59000.0,75000.0,16000.0,5.0,243,,https://tiki.vnsua-rua-mat-ngan-ngua-mun-acnes-creamy-wash-100g-p25108217.html?spid=25108218,sữa rửa mặt ngăn ngừa
25108019,Gel chấm mụn đầu trắng và đầu đen Acnes Sealing Jell 18g,57000.0,72000.0,15000.0,4.7,335,,https://tiki.vngel-cham-mun-dau-trang-va-dau-den-acnes-sealing-jell-18g-p25108019.html?spid=25108020,gel chấm mụn đầu
22052325,Sữa rửa mặt cho nam Oxy sạch sâu mát lạnh dạng kem Oxy Perfect Wash 100g,64000.0,82000.0,18000.0,4.8,103,,https://tiki.vnsua-rua-mat-cho-nam-oxy-sach-sau-mat-lanh-dang-kem-oxy-perfect-wash-100g-p22052325.html?spid=22052326,sữa rửa mặt nam
