id,name,price,original_price,discount,rating,review_count,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
219135451,Chai Xịt Ngăn Chặn Và Xua Đuổi Chó Mèo Phóng Uế Cắn Phá FAY Repell,79000,79000,0,4.7,17,,,,,,,,,
213954374,Thùng 30 gói Hủ Tiếu Nam Vang Cung Đình (85g x 30 gói),290000,309000,19000,5,12,,,,,,,,,
204090524,Bánh bông lan cuộn Hura Swissroll 360g - Bép ngậy mềm mịn chất lượng,54596,56285,1689,4.8,4,,,,,,,,,
198431072,Set 1 gói Trà sữa/Cà phê Aikcheong Malaysia dùng thử (40g/25g),14500,14500,0,5,2,,,,,,,,,
195657152,[HỘP 6 GÓI] Snack Rong Biển TaoKaeNoi Big Roll 3G Thái Lan Chính Hãng Ăn Vặt Healthy,46500,46500,0,4.8,46,,,,,,,,,
135321742,Bột Matcha Trà Xanh Dalat Farm - Túi 110Gr,150000,150000,0,4.7,75,,,,,,,,,
133683743,Dầu Đậu Nành Meizan  1L / 2L / 5L,62000,80000,18000,5,384,,,,,,,,,
116765900,Thùng Sữa đậu nành Vinasoy Fami Canxi vị Phô Mai ( 200ml x 36 Hộp ),151000,223000,72000,4.8,144,,,,,,,,,
86267511,Cà phê Cầu Đất Blend Cao Cấp Nguyên Chất Rang Mộc 100% Kết Hợp Giữa Arabica Cầu Đất Và Robusta Honey Cho Vị Đắng Đầm Thơm Ngọt Hậu - Message Coffee,120000,120000,0,4.8,422,,,,,,,,,
75029420,Rượu Vang Hồng Blanc Foussy Sparkling Rose Pinot Noir 750ml 0.4% - 0.6% - Không Hộp,280000,323000,43000,4.5,16,,,,,,,,,
75029410,Rượu Vang Trắng Chile Bravo Sauvignon Blanc Tradicion 750ml 12% - 14% - Không Hộp,191000,250000,59000,4.8,9,,,,,,,,,
73552095,Trà Lài Cầu Đất DalatFarm (dòng Đặc Biệt) - Túi 110Gr,70000,70000,0,4.8,115,,,,,,,,,
58453178,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Special Edition - Hộp 9 gói x 25gr,66000,72151,6151,5,134,,,,,,,,,
58410333,Trung Nguyên Legend - Cà phê rang xay Gourmet Blend - Hộp 500gr,172148,172148,0,4.8,111,,,,,,,,,
58405972,Trung Nguyên Legend - Cà phê rang xay Sáng tạo 8 - Hộp 250gr,285000,315388,30388,4.7,113,,,,,,,,,
51932016,Cà Phê Phin Cầu Đất (Arabica & Robusta) Rang Xay Mộc Sạch Nguyên Chất Chuẩn Gu Người Việt - Túi 250Gr (Dạng Bột),150000,150000,0,4.8,680,,,,,,,,,
51713342,Trung Nguyên Legend - Cà phê rang xay Sức sống Nâu - Bịch 500gr,134799,134799,0,4.8,286,,,,,,,,,
50488105,Trà Xanh Thái Nguyên Khánh Nga,32000,29000,-3000,4.7,74,,,,,,,,,
46095231,Đặc sản Tiền Giang - Gạo Lứt VietGAP Vinh Hiển (2KG) - Chuẩn VietGAP và OCOP 4 SAO,55999,55999,0,4.7,231,,,,,,,,,
23192253,Thùng sữa đậu nành Vinasoy Fami Canxi Nguyên vị (200ml x 36 hộp,156000,221000,65000,4.8,455,,,,,,,,,
23192245,Thùng 10 Hộp Sữa đậu nành Vinasoy Fami Canxi (1 lít/Hộp),205000,277000,72000,4.8,339,,,,,,,,,
21973757,Thùng 48 Hộp sữa dinh dưỡng Vinamilk ADM Gold IQ có đường 180ml,347000,420000,73000,4.5,2,,,,,,,,,
20367638,Trung Nguyên Legend - Cà phê hạt rang Success 2 - Bịch 1kg,495000,551518,56518,4.8,98,,,,,,,,,
3493689,Trung Nguyên Legend - Cà phê hoà tan rang xay 3in1 Classic - Hộp 12 gói x 17gr,58468,58468,0,4.8,188,,,,,,,,,
